Genre,Name,Year,Rating,Rating amount
action,Ayalaan,2024,6.0,3.3K
action,The Oath,2023,3.5,577
action,Todos los nombres de Dios,2023,5.7,1.5K
action,Snatched,2024,6.4,106
action,Capitán Avispa,2024,7.3,100
action,Ape vs Mecha Ape,2023,2.7,386
action,Zagłada Waszyngtonu,2023,3.1,220
action,Anaconda Kuang Mang Zhi Zai,2024,6.5,47
action,The Ballad of Davy Crockett,2024,5.9,55
action,Bhimaa,2024,5.5,783
action,Afgański łącznik,2023,6.0,1.6K
action,Shrapnel,2023,4.9,1.2K
action,The Grey Man,2024,6.2,16
action,Mythica: Stormbound,2024,7.8,52
action,Safehouse,2023,4.8,237
action,Fungi,2023,6.2,34
action,Superagent,2023,5.2,864
action,Little Dixie,2023,4.9,1.6K
action,Sando rando,2023,7.5,226
action,Beterang 2,2024,4.2,6
action,Varisu,2023,6.0,38K
action,Hellhound,2024,4.3,344
action,Election,2024,8.2,581
action,Bhagavanth Kesari,2023,5.9,4.6K
action,Kitarô Tanjô: Gegege no Nazo,2023,7.3,267
action,Hunt the Wicked,2024,5.8,33
action,I Am Rage,2023,4.6,1.2K
action,Matrah Matrouh,2023,8.2,99
action,Ruslaan,2024,3.6,886
action,The Emu War,2023,6.5,23
action,Jaque Mate,2024,4.2,277
action,Kill Shot,2023,3.6,1.7K
action,"Manta, Manta - Zwoter Teil",2023,3.5,3.9K
action,Mangalavaaram,2023,6.7,2.3K
action,Hope & Glory,2024,6.7,48
action,Underverden II,2023,6.4,1.8K
action,Fight Club,2023,5.6,1.8K
action,Super Vixens 5,2023,4.0,13
action,Call Her King,2023,4.3,1.1K
action,Adipurush,2023,2.7,133K
action,Duch,2023,6.2,669
action,Herd,2023,3.7,652
action,24 godziny Gaspara,2023,4.8,382
action,Taken from Rio Bravo,2024,4.9,85
action,The Siege,2023,3.4,946
action,Gunfight at Rio Bravo,2023,4.1,2.5K
action,Ameryka tonie,2023,3.5,93
action,Aliens: O Despertar,2023,8.3,262
action,Mission from Outer Space 2037,2023,8.2,32
action,Citizen of a Kind,2024,6.4,244
action,Condor's Nest,2023,4.3,1K
action,Game On,2024,5.7,2.3K
action,Viduthalai Part 1,2023,8.3,8.7K
action,Yonggamhan simin,2023,6.6,1.8K
action,Megalodon: Obłęd,2023,2.2,479
action,RDX: Robert Dony Xavier,2023,7.1,5.1K
action,Kuttey,2023,5.5,11K
action,Aserb: The Squadron,2024,6.5,47
action,Operacja: Soulcatcher,2023,3.7,1.4K
action,Midnight Massacre,2023,7.6,32
action,Revolver Lily,2023,5.3,129
action,Selfiee,2023,5.7,13K
action,King of Kotha,2023,6.1,8.1K
action,Bloodthirst,2023,4.1,1.1K
action,Lal Salaam,2024,4.7,1.1K
action,Mission Majnu,2023,7.0,44K
action,The Weapon,2023,2.5,445
action,Shelter,2023,4.2,624
action,Mayor Grom,2024,6.4,180
action,Day Labor,2024,8.2,41
action,Bholaa,2023,5.8,23K
action,O.Baby,2023,4.8,4.9K
action,Zindagi Zindabaad,2023,9.0,98
action,Breakout,2023,4.8,1.7K
action,Ameena,2024,6.2,8
action,Bermuda Island,2023,3.0,1.5K
action,The Park,2023,4.3,461
action,The Loch Ness Horror,2023,2.2,269
action,Imani,2023,3.7,370
action,Gurudev Hoysala,2023,6.6,1K
action,Mroczna strona księżyca,2023,5.9,9K
action,Ultima Ratio,2023,4.7,159
action,Called to Duty,2023,2.2,481
action,Roqya,2023,5.5,74
action,Hitmen,2023,4.2,2K
action,Texas Twister,2024,5.9,36
action,Monsternado,2023,2.6,271
action,The Omicron Killer,2024,7.5,447
action,Custody,2023,5.8,5.3K
action,Mission: Chapter 1,2024,5.8,1.5K
action,Knuckle Girl,2023,5.3,423
action,Beneath the Bad,2024,N/A,N/A
action,Project Silence,2023,7.5,98
action,Kisi Ka Bhai Kisi Ki Jaan,2023,4.0,41K
action,Kennedy,2023,6.1,231
action,GomBurZa,2023,7.6,365
action,Jigen Daisuke,2023,5.7,438
action,Iraivan,2023,4.7,2K
action,Adventures of the Naked Umbrella,2023,7.1,49
