Rank,Name,Year,Rating,Rating amount
187,Grand Budapest Hotel,2014,8.1 ,888K
188,Zaginiona dziewczyna,2014,8.1 ,1.1M
189,Przełęcz ocalonych,2016,8.1 ,595K
190,Gorączka złota,1925,8.1 ,119K
191,Zagadka zbrodni,2003,8.1 ,217K
192,W imię ojca,1993,8.1 ,187K
193,Stowarzyszenie Umarłych Poetów,1989,8.1 ,547K
194,Mad Max: Na drodze gniewu,2015,8.1 ,1.1M
195,Dzikie historie,2014,8.1 ,217K
196,Łowca jeleni,1978,8.1 ,363K
197,Generał,1926,8.1 ,98K
198,Na nabrzeżach,1954,8.1 ,165K
199,Potwory i spółka,2001,8.1 ,980K
200,Młody Sherlock Holmes,1924,8.2 ,57K
201,Trzeci człowiek,1949,8.1 ,182K
202,Szczęki,1975,8.1 ,660K
203,Jak wytresować smoka,2010,8.1 ,802K
204,Cena strachu,1953,8.2 ,67K
205,"Tam, gdzie rosną poziomki",1957,8.1 ,115K
206,Mary i Max,2009,8.1 ,187K
207,Pan Smith jedzie do Waszyngtonu,1939,8.1 ,121K
208,Ratatuj,2007,8.1 ,827K
209,Le Mans '66,2019,8.1 ,476K
210,Tokijska opowieść,1953,8.1 ,69K
211,Big Lebowski,1998,8.1 ,861K
212,Pokój,2015,8.1 ,451K
213,Siódma pieczęć,1957,8.1 ,199K
214,Rocky,1976,8.1 ,629K
215,Logan: Wolverine,2017,8.1 ,833K
216,Spotlight,2015,8.1 ,503K
217,Hotel Ruanda,2004,8.1 ,373K
218,Terminator,1984,8.1 ,925K
219,Pluton,1986,8.1 ,440K
220,Męczeństwo Joanny d'Arc,1928,8.1 ,61K
221,Nienawiść,1995,8.1 ,197K
222,Przed zachodem słońca,2004,8.1 ,288K
223,Najlepsze lata naszego życia,1946,8.1 ,71K
224,Piraci z Karaibów: Klątwa ''Czarnej Perły'',2003,8.1 ,1.2M
225,Egzorcysta,1973,8.1 ,456K
226,Wyścig,2013,8.1 ,514K
227,Sieć,1976,8.1 ,171K
228,Jai Bhim,2021,8.7 ,217K
229,Stań przy mnie,1986,8.1 ,442K
230,Czarnoksiężnik z Oz,1939,8.1 ,429K
231,Iniemamocni,2004,8.0 ,810K
232,Mój przyjaciel Hachiko,2009,8.1 ,312K
233,Służąca,2016,8.1 ,173K
234,Wszystko za życie,2007,8.1 ,659K
235,Mój ojciec i mój syn,2005,8.2 ,93K
236,Dźwięki muzyki,1965,8.1 ,261K
237,Bitwa o Algier,1966,8.1 ,66K
238,Być albo nie być,1942,8.1 ,43K
239,Grona gniewu,1940,8.1 ,100K
240,Dzień Świstaka,1993,8.0 ,686K
241,Amores perros,2000,8.1 ,253K
242,Rebeka,1940,8.1 ,147K
243,Stalowy gigant,1999,8.1 ,228K
244,Nieugięty Luke,1967,8.1 ,189K
245,Służące,2011,8.1 ,493K
246,Ich noce,1934,8.1 ,112K
247,Aladyn,1992,8.0 ,468K
248,Tańczący z wilkami,1990,8.0 ,291K
249,Drishyam: pozory mylą,2015,8.2 ,95K
250,"Paryż, Teksas",1984,8.1 ,119K
